category,Achilles,Alice,Ancient Leshen,Angel,Angel - Alt 1.0,Annie Christmas,Beowulf,Beowulf - Alt 1.0,Bigfoot,Bigfoot - Alt 1.0,Black Panther,Black Widow,Blackbeard,Bloody Mary,Bruce Lee,Buffy Giles,Buffy Giles - Alt 1.0,Buffy Xander,Buffy Xander - Alt 1.0,Bullseye,Bullseye - Alt 1.0,Chupacabra,Ciri,Cloak & Dagger,Cloak & Dagger - Alt 1.0,Daredevil,Deadpool,Doctor Strange,Donatello,Dr. Jill Trent,Dr. Sattler,Dracula,Elektra,Eredin,Geralt of Rivia,Ghost Rider,Golden Bat,Hamlet,Houdini,InGen,Invisible Man,Invisible Man - Alt 1.0,Jekyll & Hyde,King Arthur,King Arthur - Alt 1.0,Krang,Leonardo,Little Red Riding Hood,Loki,Luke Cage,Martian Invader,Medusa,Michelangelo,Moon Knight,Mothman,Ms. Marvel,Muhammad Ali,Nikola Tesla,Oda Nobunaga,Pandora,Philippa,Raphael,Raptors,Robin Hood,Robin Hood - Alt 1.0,Shakespeare,She-Hulk,Sherlock Holmes,Shredder,Sinbad,Spider-Man,Spike,Squirrel Girl,Sun Wukong,T. Rex,The Genie,The Wayward Sisters,Titania,Tomoe Gozen,Triss,Willow,Winter Soldier,Yennefer,Yennenga
Achilles,0,102,31,3,0,60,57,0,179,0,63,90,25,32,67,5,0,9,0,57,0,20,37,16,0,119,1,28,0,75,48,117,36,34,61,30,86,12,129,67,51,0,2,18,0,1,0,75,23,179,0,97,0,100,0,6,0,77,22,30,8,1,37,103,0,38,92,22,0,110,28,1,4,147,117,62,17,29,98,16,3,28,39,277
Alice,102,0,2,1,0,95,94,0,32,0,52,46,11,17,62,3,0,5,0,32,0,16,6,26,0,28,9,2,9,16,68,49,3,4,35,29,25,20,20,37,25,0,25,36,0,10,5,64,10,75,0,43,7,81,0,24,1,12,6,14,7,10,29,58,0,29,16,8,5,71,4,4,3,23,92,37,6,10,22,0,4,7,2,32
Ancient Leshen,31,2,0,1,0,13,2,0,19,0,4,17,6,5,6,1,0,0,0,2,0,5,54,0,0,11,1,5,2,39,2,33,4,43,62,4,10,2,18,17,1,0,0,1,0,1,2,31,5,36,0,17,2,9,0,1,0,21,1,6,34,0,33,4,0,10,8,6,2,20,6,0,1,7,18,31,25,32,36,3,0,8,59,20
Angel,3,1,1,0,0,0,1,0,10,0,0,0,0,6,4,7,0,5,0,7,0,0,1,3,0,1,11,0,1,1,1,3,0,0,0,3,2,1,1,1,10,0,11,16,0,0,0,2,2,26,0,0,0,1,0,0,0,3,3,1,9,0,4,8,0,2,0,3,0,4,1,7,7,0,0,3,1,1,1,0,6,0,1,1
Angel - Alt 1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Annie Christmas,60,95,13,0,0,0,44,0,66,0,63,44,3,20,18,3,0,3,0,19,0,0,2,13,0,17,0,6,1,88,7,91,1,9,63,25,47,35,35,16,17,0,5,5,0,0,1,52,1,70,0,29,0,47,0,9,2,57,1,2,5,0,29,26,0,76,10,18,0,45,12,3,2,10,20,28,18,52,48,4,1,16,3,21
Beowulf,57,94,2,1,0,44,0,0,35,0,20,29,0,35,37,3,0,6,0,30,0,4,0,17,0,25,1,2,0,10,23,60,7,2,28,32,1,9,28,38,20,0,18,22,0,2,0,59,1,63,0,18,0,49,0,7,0,1,5,0,0,1,13,39,0,15,6,14,0,23,5,2,2,10,21,26,1,2,18,0,2,7,2,13
Beowulf - Alt 1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bigfoot,179,32,19,10,0,66,35,0,0,0,45,24,13,96,30,3,0,5,0,13,0,23,40,3,0,50,15,39,1,146,10,108,13,18,40,22,325,3,114,81,22,0,15,17,0,0,1,173,14,100,0,192,0,151,0,7,1,107,3,6,2,1,42,63,0,21,99,40,0,74,21,2,3,99,84,36,30,9,69,6,4,22,26,217
Bigfoot - Alt 1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Panther,63,52,4,0,0,63,20,0,45,0,0,85,2,3,41,8,0,2,0,19,0,2,6,15,0,50,1,41,0,89,6,54,6,11,4,26,18,28,141,29,6,0,2,1,0,0,0,37,0,67,0,41,1,17,0,17,0,50,3,1,6,1,21,19,0,23,37,28,0,32,14,2,3,50,42,29,1,7,18,0,0,66,9,47
Black Widow,90,46,17,0,0,44,29,0,24,0,85,0,7,5,3,0,0,0,0,37,0,0,1,15,0,57,0,44,0,29,11,43,5,3,42,10,14,9,55,36,6,0,3,5,0,0,0,60,3,50,0,50,0,37,0,9,0,39,15,3,3,0,71,32,0,11,36,28,0,29,17,0,0,35,27,69,11,41,106,5,0,119,2,66
Blackbeard,25,11,6,0,0,3,0,0,13,0,2,7,0,5,20,0,0,0,0,9,0,59,16,3,0,11,1,20,0,26,0,2,3,5,4,5,21,2,8,4,8,0,0,11,0,1,1,17,78,4,0,42,1,13,0,1,0,16,2,95,1,0,5,5,0,2,0,4,0,35,1,0,0,60,0,28,2,7,31,0,1,3,27,34
Bloody Mary,32,17,5,6,0,20,35,0,96,0,3,5,5,0,58,3,0,5,0,26,0,33,1,3,0,19,31,2,0,10,14,50,3,9,12,26,44,5,18,18,55,0,72,36,0,0,0,50,7,25,0,10,1,37,0,11,0,8,18,11,18,0,20,27,0,10,8,5,1,24,36,10,23,39,5,46,12,16,58,1,12,4,3,86
Bruce Lee,67,62,6,4,0,18,37,0,30,0,41,3,20,58,0,8,0,13,0,65,0,9,17,29,0,31,5,24,1,26,57,78,9,74,4,19,12,12,82,38,29,0,33,11,0,0,2,44,13,19,0,37,0,34,0,24,8,34,3,3,36,0,14,96,0,18,3,15,0,56,27,6,18,69,27,63,15,5,55,1,5,8,4,102
Buffy Giles,5,3,1,7,0,3,3,0,3,0,8,0,0,3,8,0,0,1,0,11,0,0,0,3,0,3,1,2,0,4,7,8,4,0,2,10,0,6,1,4,23,0,20,8,0,0,0,7,0,4,0,2,0,1,0,3,1,0,4,0,0,0,5,17,0,1,0,2,0,6,8,1,3,3,3,1,0,1,1,0,3,1,0,2
Buffy Giles - Alt 1.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buffy Xander,9,5,0,5,0,3,6,0,5,0,2,0,0,5,13,1,0,0,0,17,0,0,0,13,0,4,4,0,0,0,3,3,1,1,0,0,1,4,0,3,5,0,9,6,0,0,0,12,1,4,0,2,0,1,0,6,0,2,7,0,2,0,16,38,0,2,0,3,0,15,11,2,4,1,2,1,1,1,0,0,1,1,0,9
Buffy Xander - Alt 1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bullseye,57,32,2,7,0,19,30,0,13,0,19,37,9,26,65,11,0,17,0,0,0,10,13,27,0,71,4,42,0,2,32,46,43,27,1,28,17,6,27,29,17,0,18,30,0,0,2,52,5,24,0,22,0,37,0,23,1,52,2,6,9,1,38,81,0,9,6,19,0,18,7,1,3,29,43,44,10,7,31,0,1,46,1,91
Bullseye - Alt 1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Chupacabra,20,16,5,0,0,0,4,0,23,0,2,0,59,33,9,0,0,0,0,10,0,0,16,2,0,5,0,7,9,29,1,6,1,4,2,0,12,0,2,7,5,0,5,14,0,4,10,26,62,1,0,20,10,18,0,1,3,8,3,72,1,14,4,2,0,2,2,1,13,8,2,0,0,27,2,24,4,4,26,22,0,3,21,35
Ciri,37,6,54,1,0,2,0,0,40,0,6,1,16,1,17,0,0,0,0,13,0,16,0,44,0,37,0,6,2,33,1,14,1,85,46,4,29,2,33,5,1,0,1,1,0,0,1,13,9,24,0,29,0,11,0,1,2,34,1,10,66,2,65,12,0,1,4,1,1,10,3,0,0,14,8,34,1,5,54,11,0,3,78,36
Cloak & Dagger,16,26,0,3,0,13,18,0,3,0,15,15,3,3,29,3,0,13,0,27,0,2,44,0,0,3,7,1,0,3,13,18,1,1,9,21,2,14,1,0,20,0,17,8,0,0,0,43,1,9,0,5,0,3,0,36,1,20,1,1,1,0,26,21,0,17,0,2,0,12,9,1,17,4,4,17,1,1,3,0,0,14,3,34
Cloak & Dagger - Alt 1.0,0,0,0,0,2,0,0,2,0,5,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Daredevil,119,28,11,1,0,17,25,0,50,0,50,57,11,19,31,3,0,4,0,71,0,5,37,3,0,0,4,39,0,36,24,74,60,60,24,25,33,2,88,52,2,0,10,7,0,1,0,76,6,94,0,82,1,37,0,5,0,42,10,2,24,2,45,18,0,28,54,13,0,48,14,0,2,81,117,44,13,30,73,4,2,46,58,154
Deadpool,1,9,1,11,0,0,1,0,15,0,1,0,1,31,5,1,0,4,0,4,0,0,0,7,0,4,0,2,0,2,2,0,3,1,1,3,2,1,0,3,25,0,24,34,0,0,0,0,2,0,0,0,6,9,0,4,0,0,9,0,2,0,3,3,0,1,1,2,0,1,10,4,8,0,1,7,3,0,2,0,8,4,1,4
Doctor Strange,28,2,5,0,0,6,2,0,39,0,41,44,20,2,24,2,0,0,0,42,0,7,6,1,0,39,2,0,0,14,2,11,16,2,0,6,48,1,73,2,1,0,0,0,0,0,0,6,39,30,0,61,0,24,0,3,0,91,1,8,1,0,2,8,0,2,104,21,0,6,20,0,2,39,83,12,2,13,52,1,0,75,8,66
Donatello,0,9,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,9,2,0,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,18,15,1,4,0,0,0,23,1,0,0,12,3,0,0,1,28,0,1,0,0,0,0,13,0,0,0,0,0,0,3,2,1,8,0,0,0,0,0
Dr. Jill Trent,75,16,39,1,0,88,10,0,146,0,89,29,26,10,26,4,0,0,0,2,0,29,33,3,0,36,2,14,1,0,10,37,3,27,13,17,118,10,193,26,0,0,2,3,0,1,1,78,36,136,0,143,0,60,0,8,0,179,4,14,5,0,19,19,0,6,41,5,0,84,1,0,1,66,32,21,9,16,81,7,0,8,50,90
Dr. Sattler,48,68,2,1,0,7,23,0,10,0,6,11,0,14,57,7,0,3,0,32,0,1,1,13,0,24,2,2,0,10,0,10,3,17,1,12,7,1,51,18,15,0,6,1,0,0,0,30,1,27,0,6,0,38,0,11,0,8,5,0,24,0,16,46,0,1,2,11,0,41,7,2,2,16,62,67,8,7,37,0,0,5,0,86
Dracula,117,49,33,3,0,91,60,0,108,0,54,43,2,50,78,8,0,3,0,46,0,6,14,18,0,74,0,11,2,37,10,0,22,13,47,56,32,9,91,63,83,0,42,14,0,0,0,92,2,85,0,58,1,27,0,16,1,16,9,5,9,0,60,95,0,16,15,26,1,55,10,1,2,39,19,59,18,25,49,1,1,17,16,60
Elektra,36,3,4,0,0,1,7,0,13,0,6,5,3,3,9,4,0,1,0,43,0,1,1,1,0,60,3,16,0,3,3,22,0,1,0,17,2,1,18,11,4,0,1,3,0,0,0,28,0,16,0,15,0,11,0,5,1,4,0,1,2,0,19,24,0,3,16,20,0,17,2,2,1,22,20,4,0,1,4,1,0,10,5,36
Eredin,34,4,43,0,0,9,2,0,18,0,11,3,5,9,74,0,0,1,0,27,0,4,85,1,0,60,1,2,0,27,17,13,1,0,49,0,25,1,76,10,0,0,0,1,0,0,0,8,3,32,0,33,1,8,0,1,0,34,0,3,65,1,3,32,0,4,7,2,1,6,4,0,1,8,8,69,15,12,52,27,0,3,78,96
Geralt of Rivia,61,35,62,0,0,63,28,0,40,0,4,42,4,12,4,2,0,0,0,1,0,2,46,9,0,24,1,0,1,13,1,47,0,49,0,8,8,1,15,33,14,0,2,11,0,0,0,28,5,43,0,16,0,47,0,3,0,10,1,5,29,0,31,5,0,19,2,2,0,5,10,0,1,6,33,16,15,34,34,24,0,3,33,15
Ghost Rider,30,29,4,3,0,25,32,0,22,0,26,10,5,26,19,10,0,0,0,28,0,0,4,21,0,25,3,6,0,17,12,56,17,0,8,0,24,3,24,33,22,0,52,6,0,0,0,34,0,74,0,43,0,36,0,9,0,14,1,0,0,0,38,8,0,1,13,18,0,30,2,2,3,58,26,42,2,9,13,0,1,12,4,27
Golden Bat,86,25,10,2,0,47,1,0,325,0,18,14,21,44,12,0,0,1,0,17,0,12,29,2,0,33,2,48,1,118,7,32,2,25,8,24,0,3,115,21,9,0,14,12,0,2,0,49,32,120,0,159,1,61,0,12,0,193,2,9,5,3,56,19,0,8,64,13,0,73,4,2,1,96,35,34,15,9,83,1,0,18,11,61
Hamlet,12,20,2,1,0,35,9,0,3,0,28,9,2,5,12,6,0,4,0,6,0,0,2,14,0,2,1,1,0,10,1,9,1,1,1,3,3,0,7,0,2,0,4,4,0,0,0,11,10,5,0,2,3,23,0,19,0,3,14,2,2,0,15,11,0,20,3,3,2,35,11,2,1,0,1,1,15,20,4,3,0,4,0,2
Houdini,129,20,18,1,2,35,28,1,114,1,141,55,8,18,82,1,1,0,2,27,0,2,33,1,3,88,0,73,0,193,51,91,18,76,15,24,115,7,0,39,2,1,3,4,3,0,0,66,6,182,0,139,0,69,0,3,0,124,5,14,51,0,21,40,0,9,73,59,0,52,8,2,1,120,63,112,12,10,46,11,2,56,38,228
